Fecha,SGR,Mora
27/2/2026,CONFIABLES S.G.R.,0.116
27/2/2026,PATAGONIA S.G.R.,0.115
27/2/2026,MILLS S.G.R.,0.087
27/2/2026,RIG AVALES S.G.R.,0.086
27/2/2026,INTEGRA PYMES S.G.R.,0.075
27/2/2026,AVALUAR S.G.R.,0.066
27/2/2026,ALIANZA S.G.R.,0.062
27/2/2026,INNOVA S.G.R.,0.054
27/2/2026,AVALES DEL CENTRO S.G.R.,0.048
27/2/2026,AFB AVALES S.G.R.,0.048
27/2/2026,ACINDAR PYMES S.G.R.,0.045
27/2/2026,FINTECH S.G.R.,0.044
27/2/2026,GARANTIZAR S.G.R.,0.043
27/2/2026,AVAL FEDERAL S.G.R.,0.043
27/2/2026,NEUQUEN PYMES S.G.R.,0.039
27/2/2026,AVAL RURAL S.G.R.,0.039
27/2/2026,MOVIL S.G.R.,0.039
27/2/2026,PROMOVER S.G.R.,0.038
27/2/2026,UNION S.G.R.,0.037
27/2/2026,SOLIDUM S.G.R.,0.036
27/2/2026,RESILIENCIA S.G.R.,0.036
27/2/2026,AVAL AR S.G.R.,0.035
27/2/2026,FID AVAL S.G.R.,0.035
27/2/2026,CONAVAL S.G.R.,0.034
27/2/2026,FIDEM S.G.R.,0.034
27/2/2026,FEDR FID. PROV.DE SANTA FE,0.033
27/2/2026,ARGENPYMES S.G.R.,0.033
27/2/2026,GARANTIAS BIND S.G.R.,0.026
27/2/2026,FID DE AFECTACION ESPECIFICA PARA GARANTIZAR PYMES,0.022
27/2/2026,DON MARIO S.G.R.,0.021
27/2/2026,ZOFINGEN S.G.R.,0.021
27/2/2026,TREND S.G.R.,0.021
27/2/2026,CRECER S.G.R.,0.019
27/2/2026,CREAR S.G.R.,0.018
27/2/2026,AFFIDAVIT S.G.R.,0.013
27/2/2026,ARGENTINA CIUDAD S.G.R.,0.012
27/2/2026,CUYO AVAL S.G.R.,0.012
27/2/2026,PODER S.G.R.,0.010
27/2/2026,CAMPO AVAL S.G.R.,0.009
27/2/2026,POTENCIAR S.G.R.,0.007
27/2/2026,AVAL FERTIL S.G.R.,0.001
27/2/2026,AGROAVAL S.G.R.,0.0
31/3/2026,CONFIABLES S.G.R.,0.140
31/3/2026,PATAGONIA S.G.R.,0.137
31/3/2026,MILLES S.G.R.,0.098
31/3/2026,INTEGRA PYMES S.G.R.,0.079
31/3/2026,AVALUAR S.G.R.,0.078
31/3/2026,ALIANZA S.G.R.,0.071
31/3/2026,AFB AVALES S.G.R.,0.055
31/3/2026,FINTECH S.G.R.,0.055
31/3/2026,ACINDAR PYMES S.G.R.,0.052
31/3/2026,CONAVAL S.G.R.,0.050
31/3/2026,AVAL FEDERAL S.G.R.,0.048
31/3/2026,RIG AVALES S.G.R.,0.048
31/3/2026,GARANTIZAR S.G.R.,0.048
31/3/2026,AVALES DEL CENTRO S.G.R.,0.046
31/3/2026,MOVIL S.G.R.,0.044
31/3/2026,INNOVA S.G.R.,0.042
31/3/2026,FONDO ESPECIFICO DE RIESGO FIDUCIARIO PROVINCIA DE SANTA FE,0.039
31/3/2026,AVAL AR S.G.R.,0.039
31/3/2026,FIDEM S.G.R.,0.038
31/3/2026,PROMOVER S.G.R.,0.038
31/3/2026,ARGENPYMES S.G.R.,0.037
31/3/2026,UNION S.G.R.,0.037
31/3/2026,SOLIDUM S.G.R.,0.037
31/3/2026,AVAL RURAL S.G.R.,0.036
31/3/2026,FID AVAL S.G.R.,0.035
31/3/2026,RESILIENCIA S.G.R.,0.034
31/3/2026,GARANTIAS BIND S.G.R.,0.034
31/3/2026,NEUQUEN PYMES S.G.R.,0.032
31/3/2026,TREND S.G.R.,0.025
31/3/2026,FID DE AFECTACION ESPECIFICA PARA GARANTIZAR PYMES MENDOCINAS,0.023
31/3/2026,CRECER S.G.R.,0.022
31/3/2026,DON MARIO S.G.R.,0.021
31/3/2026,CFRAR S.G.R.,0.020
31/3/2026,ARGENTINA CIUDAD S.G.R.,0.018
31/3/2026,PODER S.G.R.,0.014
31/3/2026,AFFIDAVIT S.G.R.,0.013
31/3/2026,CUYO AVAL S.G.R.,0.013
31/3/2026,ZOFINGEN S.G.R.,0.010
31/3/2026,CAMPO AVAL S.G.R.,0.010
31/3/2026,POTENCIAR S.G.R.,0.006
31/3/2026,AVAL FERTIL S.G.R.,0.001
31/3/2026,AGROAVAL S.G.R.,0.0
