Fecha,Categoria,Potenciar,Garantizar,Integra,BIND
27/2/2026,Tit. Nac. + Lebac,0.49,0.51,0.44,0.61
27/2/2026,ON,0.13,0.18,0.32,0.19
27/2/2026,Plazos Fijos,0.024,0.0,0.034,0.0
27/2/2026,FCI + Act. Pyme,0.33,0.22,0.21,0.11
27/2/2026,Equity,0.024,0.0,0.0,0.09
27/2/2026,Provinciales,0.0,0.09,0.0,0.0
31/3/2026,Tit. Nac. + Lebac,0.48,0.47,0.47,0.67
31/3/2026,ON,0.12,0.19,0.32,0.17
31/3/2026,Plazos Fijos,0.02,0.0,0.0,0.0
31/3/2026,FCI + Act. Pyme,0.35,0.26,0.18,0.06
31/3/2026,Equity,0.02,0.0,0.03,0.10
31/3/2026,Provinciales,0.0,0.08,0.0,0.0
