AÑO,FY,MONEDA,Periodo,Compañía,Sociedad,Concepto,Concepto 2,Fecha Inicio,Fecha Fin,Tasa,Moneda,Monto Webcast,Monto USD,Outstanding
2026,FY2026,DL,2T-26,5000 - Cresud,5000 - Cresud SACIF y A,XL,Mdo de capitales,21/12/2025,21/06/2026,0.00%,USD,12609342,12609342,25600785
2026,FY2027,DL,4T-26,5000 - Cresud,5000 - Cresud SACIF y A,XL,Mdo de capitales,21/06/2026,21/12/2026,0.00%,USD,12991443,12991443,12991443
2026,FY2026,DL,2T-26,5000 - Cresud,5000 - Cresud SACIF y A,XLII,Mdo de capitales,04/04/2023,04/05/2026,0.00%,USD,10215492,10215492,10215492
2026,FY2026,Cable,1T-26,5000 - Cresud,5000 - Cresud SACIF y A,XXXVIII,Mdo de capitales,03/01/2026,03/03/2026,8.00%,USD,70351640,70351640,70351640
2027,FY2027,MEP S/MULC,2027,5000 - Cresud,5000 - Cresud SACIF y A,XLIV,Mdo de capitales,17/01/2024,17/01/2027,6.00%,USD,39765830,40443184,40443184
2026,FY2027,CABLE S/MULC,3T-26,5000 - Cresud,5000 - Cresud SACIF y A,XLV,Mdo de capitales,22/04/2024,22/08/2026,6.00%,USD,10199068,10712371,10712371
2027,FY2028,DL,2027,5000 - Cresud,5000 - Cresud SACIF y A,XLVI,Mdo de capitales,18/07/2024,18/07/2027,1.50%,USD,23794001,23794001,23794001
2028,FY2029,MEP,2028,5000 - Cresud,5000 - Cresud SACIF y A,XLVII,Mdo de capitales,15/11/2024,15/11/2028,7.00%,USD,64417023,64417023,64417023
2028,FY2029,MEP,2028,5000 - Cresud,Cresud,XLVIII,Mdo de capitales,11/07/2025,11/07/2028,8.00%,USD,43656188,43656188,43656188
2027,FY2028,MEP,2027,5000 - Cresud,Cresud,XLIX,Mdo de capitales,02/09/2025,02/09/2027,7.25%,USD,31306845,31306845,31306845
2029,FY2029,MEP,2029,5000 - Cresud,Cresud,L,Mdo de capitales,10/12/2025,10/03/2029,7.25%,USD,70381079,70381079,70381079
2027,FY2027,MEP,2027,5000 - Cresud,Cresud,LI,Mdo de capitales,20/01/2026,20/01/2027,5.75%,USD,46778518,46778518,46778518
2026,FY2026,HD,2T-26,5000 - Cresud,Cresud,Ciudad,Bancaria,29/04/2025,29/04/2026,5.00%,USD,8000000,8000000,8000000
2026,FY2026,HD,2T-26,5000 - Cresud,Cresud,BBVA,Bancaria,30/03/2026,29/06/2026,3.75%,USD,16000000,16000000,16000000
2026,FY2026,ARS,1T-26,5000 - Cresud,Cresud,ICBC,Descubiertos,14/11/2025,01/02/2026,28.00%,ARS,2532561460,1840524,1840524
2028,FY2028,MEP,2028,5000 - Cresud,Cresud,LII,Mdo de capitales,30/04/2026,30/04/2028,4.75%,USD,41201813,41201813,41201813
2030,FY2030,MEP,2030,5000 - Cresud,Cresud,LIII,Mdo de capitales,30/04/2026,30/04/2030,6.25%,USD,22998047,22998047,22998047
