Fecha,Ticker,Emisor,Industria,Ley,Moneda,Cupon,Vencimiento,Prox_Cupon,Precio_Clean,YTM,CY,DM,CX,WAL,Monto_Emitido,ADTV_ARS,Cierre_ARS,Accr_Int,VT,VR,Estructura,Frec_Cupon,Cuotas_Capital,Frec_Capital,Prox_Capital
26-06-2026,VSCXO,Vista Energy Argentina S.A.U.,Petróleo & Gas,NY,USD Int,7.9,08-Apr-2038,08-Oct-2026,104.1,7.45,7.4,7.0,69.2,11.1,500.0,1448.52,163190.0,1.8,101.8,100.0,Tasa Fija,Semestral,3,Anual,04-Aug-2036
26-06-2026,YM34O,YPF S.A.,Petróleo & Gas,NY,USD Int,8.3,17-Jan-2034,17-Jul-2026,105.0,7.38,7.6,4.7,31.6,6.7,1100.0,1346.69,167760.0,3.7,103.7,100.0,Tasa Fija,Semestral,3,Anual,17-Jan-2032
26-06-2026,YMCXO,YPF S.A.,Petróleo & Gas,NY,USD Int,8.8,11-Sep-2031,11-Sep-2026,107.2,6.95,8.0,3.6,18.0,4.6,500.0,1144.91,169450.0,2.6,102.6,100.0,Tasa Fija,Semestral,3,Anual,11-Sep-2029
26-06-2026,MGCRO,Pampa Energía S.A.,Electricidad,NY,USD Int,7.8,14-Nov-2037,14-Nov-2026,104.2,7.32,7.4,7.2,72.8,11.4,450.0,929.76,162070.0,1.0,101.0,100.0,Tasa Fija,Semestral,1,Vencimiento,14-Nov-2037
26-06-2026,VSCVO,Vista Energy Argentina S.A.U.,Petróleo & Gas,NY,USD Int,8.5,10-Jun-2033,10-Dec-2026,107.9,6.97,7.8,4.5,27.6,6.0,500.0,651.74,166900.0,0.4,100.4,100.0,Tasa Fija,Semestral,3,Anual,10-Jun-2031
26-06-2026,IRCPO,Inversiones y Representaciones S.A.,Real Estate,NY,USD Int,8.0,31-Mar-2035,30-Sep-2026,104.3,7.38,7.5,5.5,40.9,7.8,480.0,572.57,163800.0,2.0,102.0,100.0,Tasa Fija,Semestral,3,Anual,31-Mar-2033
26-06-2026,TLCPO,TELECOM ARGENTINA S.A.,Telecomunicaciones,NY,USD Int,9.3,28-May-2033,28-Nov-2026,107.5,7.88,8.5,4.6,29.4,6.4,1000.0,535.87,166900.0,0.8,100.8,100.0,Tasa Fija,Semestral,2,Anual,28-May-2032
26-06-2026,TLCTO,TELECOM ARGENTINA S.A.,Telecomunicaciones,NY,USD Int,8.5,20-Jan-2036,20-Jul-2026,105.9,7.69,7.7,5.9,49.2,9.1,600.0,511.31,169250.0,3.8,103.8,100.0,Tasa Fija,Semestral,2,Anual,20-Jan-2035
26-06-2026,DNCAO,EDENOR S.A.,Electricidad,NY,USD Int,9.5,28-Apr-2033,28-Oct-2026,100.6,9.58,9.3,4.1,24.0,5.8,550.0,455.09,157400.0,1.6,101.6,100.0,Tasa Fija,Semestral,3,Anual,28-Apr-2031
26-06-2026,TLCMO,TELECOM ARGENTINA S.A.,Telecomunicaciones,NY,USD Int,9.5,18-Jul-2031,18-Jul-2026,108.7,6.99,8.4,3.1,14.5,4.1,617.0,444.73,174600.0,4.2,104.2,100.0,Tasa Fija,Semestral,3,Anual,18-Jul-2029
