FECHA,EMISOR,MONEDA,TASA,TASA/MARGEN,PLAZO (en meses),VN,CALIFICACIÓN
5-jun-26,Banco de Galicia I XXXII,ARS,TAMAR,"3,25%",12,"156553,70",A1+ (Fix SCR)
5-jun-26,Banco de Galicia II XXXII,USD Mep,Fija,"4,75%",24,"53,10",AAA (Fix SCR)
5-jun-26,Banco de Galicia III XXXII,USD Cable,Fija,"3,00%",18,"36,70",AAA (Fix SCR)
29-may-26,BONAR 2027 (AO27),USD Mep,Fija,"6,00%",17,"200,00",SC
29-may-26,BONAR 2027 (AO27),USD Mep,Fija,"6,00%",17,"105,00",SC
29-may-26,BONAR 2028 (AO28),USD Mep,Fija,"6,00%",29,"150,00",SC
29-may-26,BONAR 2028 (AO28),USD Mep,Fija,"6,00%",29,"100,00",SC
29-may-26,Telecom Argentina – 29,USD Mep,Fija,"3,50%",12,"26,40",A-1 (Moody´S)
29-may-26,Telecom Argentina – 30,USD Mep,Fija,"6,25%",48,"35,10",AA+ (Moody´s)
28-may-26,Credicuotas Consumo – XX,ARS,TAMAR,"5,00%",12,"13444,30",A1 (Fix SCR)
28-may-26,Credicuotas Consumo – XXI,USD Mep,Fija,"7,00%",12,"35,90",A1 (Fix SCR)
28-may-26,Mirgor – VI,USD Mep,Fija,"8,00%",24,"22,40",A+ (Moody´s)
26-may-26,Scania Credit – 3,USD Mep,Fija,"6,50%",36,"27,00",AA (Fix SCR)
22-may-26,ICBC – VI,USD Mep,Fija,"3,70%",12,"45,10",A1 (Fix SCR)
22-may-26,Tarjeta Naranja I LXVII,ARS,TAMAR,"4,50%",12,"157273,30",A1+ (Fix SCR)
22-may-26,Tarjeta Naranja II LXVII,USD Mep,Fija,"5,00%",9,"115,10",A1+ (Fix SCR)
22-may-26,Tarjeta Naranja III LXVII,USD Cable,Fija,"4,00%",18,"13,80",AA (Fix SCR)
21-may-26,Arcor – 5,USD Mep,Fija,"5,25%",36,"50,00",AAA (Fix SCR)
21-may-26,Arcor – 6,ARS,TAMAR,"2,99%",15,"69767,40",AAA (Fix SCR)
21-may-26,Banco BBVA – 46,ARS,TAMAR,"3,25%",12,"83914,30",A1+ (Fix SCR)
21-may-26,Pampa Energía (Ley NY) – 26 Adicionales,USD Int,Fija,"7,75%",138,"500,00",B- (S&P) / B+ (Fitch Ratings)
21-may-26,Tecpetrol – 13,USD Mep,Fija,"5,50%",24,"100,00",AAA (Fix SCR)
18-may-26,Mercado Pago – 4,USD Mep,Fija,"0,00%",3,"44,00",A1+ (Fix SCR)
18-may-26,Mercado Pago – 5,ARS,TAMAR,"2,50%",6,"42257,50",A1+ (Fix SCR)
18-may-26,Mercado Pago – 6,ARS,TAMAR,"3,00%",12,"44645,80",A1+ (Fix SCR)
15-may-26,BONAR 2027 (AO27),USD Mep,Fija,"6,00%",17,"150,00",SC
15-may-26,BONAR 2027 (AO27),USD Mep,Fija,"6,00%",17,"100,00",SC
15-may-26,BONAR 2028 (AO28),USD Mep,Fija,"6,00%",30,"100,00",SC
15-may-26,BONAR 2028 (AO28),USD Mep,Fija,"6,00%",30,"150,00",SC
12-may-26,Newsan – 23,ARS,TAMAR,"5,00%",12,"26469,00",A-1 (Moody’s)
12-may-26,Puente Hnos. – IV,USD Mep,Fija,"6,50%",36,"20,40",A+ (Fix SCR)
