SGR,Valor_Mercado
GARANTIZAR S.G.R.,325287
ARGENPYMES S.G.R.,186948
ACINDAR PYMES S.G.R.,177016
POTENCIAR S.G.R.,94671
GARANTIAS BIND S.G.R.,57168
FINTECH S.G.R.,51068
CRECER S.G.R.,30217
AVAL RURAL S.G.R.,23798
MOVIL S.G.R.,22690
AGROAVAL S.G.R.,18698
INNOVA S.G.R.,15867
CAMPO AVAL S.G.R.,15785
CUYO AVAL S.G.R.,13497
UNION S.G.R.,12251
TREND S.G.R.,11476
AVAL AR S.G.R.,11474
FIDEM S.G.R.,11172
AFFIDAVIT S.G.R.,10998
AFB AVALES S.G.R.,10933
INTEGRA PYMES S.G.R.,10924
PODER S.G.R.,10893
ALIANZA S.G.R.,10793
DON MARIO S.G.R.,10153
NEUQUEN PYMES S.G.R.,9961
ARGENTINA CIUDAD S.G.R.,9702
AVALES DEL CENTRO S.G.R.,9575
FID AVAL S.G.R.,9062
CREAR S.G.R.,9026
AVAL FEDERAL S.G.R.,8913
PROMOVER S.G.R.,8877
AVAL FERTIL S.G.R.,8537
RESILIENCIA S.G.R.,8462
AVALUAR S.G.R.,7570
MILLS S.G.R.,7021
CONAVAL S.G.R.,6232
FER FIDUCIARIO PROVINCIA DE SANTA FE,5378
SOLIDUM S.G.R.,4916
RIG AVALES S.G.R.,3059
FAE PARA GARANTIZAR PYMES MENDOCINAS,2440
CONFIABLES S.G.R.,1840
PATAGONIA S.G.R.,1649
