AÑO,FY,MONEDA,Periodo,Compañía,Sociedad,Concepto,Concepto 2,Fecha Inicio,Fecha Fin,Tasa,Moneda,Monto Webcast,Monto USD,Outstanding
2028,FY2028,Cable,2028,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XIV,Mdo de capitales,22/12/2027,22/06/2028,8.75%,USD,30987679,30987679,30987679
2029,FY2030,MEP,2029,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIII,Mdo de capitales,23/10/2024,23/10/2029,7.25%,USD,51467822,51467822,51467822
2033,FY2033,Cable,2033,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Mdo de capitales,31/03/2025,31/03/2033,8.00%,USD,156322416,156322416,473704291
2034,FY2034,Cable,2034,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Mdo de capitales,31/03/2025,31/03/2034,8.00%,USD,156322416,156322416,317381875
2035,FY2035,Cable,2035,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Mdo de capitales,31/03/2025,31/03/2035,8.00%,USD,161059459,161059459,161059459
2027,FY2027,Cable,2027,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XIV,Mdo de capitales,22/12/2026,22/06/2027,8.75%,USD,18076146,18076146,49063825
2027,FY2027,MEP S/MULC,2027,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XVIII,Mdo de capitales,28/02/2024,28/02/2027,7.00%,USD,21408926,21773597,21773597
2027,FY2028,MEP,2027,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXII,Mdo de capitales,23/10/2024,23/10/2027,5.75%,USD,15799810,15799810,15799810
2026,FY2026,Cable,2T-26,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XIV,Mdo de capitales,22/12/2025,22/06/2026,8.75%,USD,18076146,18076146,67139971
2026,FY2026,MEP S/MULC,2T-26,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XX,Mdo de capitales,10/06/2024,10/06/2026,6.00%,USD,21315242,21678317,21678317
2026,FY2026,ARS,1T-26,3000 - IRSA Inversiones y Repr,IRSA,Cohen,Descubiertos,14/11/2025,30/01/2026,25.00%,ARS,1701809522,1236780,1236780
