Fecha,Plazo,Mora
27/2/2026,> 365 dias,0.13
27/2/2026,< 365 dias,0.18
27/2/2026,< 180 dias,0.27
27/2/2026,< 90 dias,0.3
27/2/2026,< 31 dias,0.13
31/3/2026,> 365 dias,0.12
31/3/2026,< 365 dias,0.22
31/3/2026,< 180 dias,0.30
31/3/2026,< 90 dias,0.23
31/3/2026,< 31 dias,0.14
30/4/2026,> 365 dias,0.11
30/4/2026,< 365 dias,0.25
30/4/2026,< 180 dias,0.27
30/4/2026,< 90 dias,0.22
30/4/2026,< 31 dias,0.15
31/5/2026,> 365 dias,0.11
31/5/2026,< 365 dias,0.28
31/5/2026,< 180 dias,0.25
31/5/2026,< 90 dias,0.23
31/5/2026,< 31 dias,0.13
